"filename", "language", "YAML", "Markdown", "C++", "Groovy", "Properties", "JSON", "HTML", "XML", "Swift", "Dart", "comment", "blank", "total"
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"d:\StartupDevRepos\pmx\pmx-mobile\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\StartupDevRepos\pmx\pmx-mobile\pubspec.yaml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 15, 109
"d:\StartupDevRepos\pmx\pmx-mobile\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 16, 6, 59
"d:\StartupDevRepos\pmx\pmx-mobile\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"d:\StartupDevRepos\pmx\pmx-mobile\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"d:\StartupDevRepos\pmx\pmx-mobile\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\StartupDevRepos\pmx\pmx-mobile\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 38, 101, 499, 112, 8, 249, 37, 624, 32, 2628, 724, 497, 5549
